"group","count","prop","hh.type","typology","code","country","year","subregions","regions"
"young_male",134040,0.0310162184926451,"skipped","inter",214,"DominicanRepublic",2010,"CRB","AM"
"old_female",48230,0.109481760606542,"single","un",214,"DominicanRepublic",2010,"CRB","AM"
"old_female",125270,0.284362018477743,"nuclear","un",214,"DominicanRepublic",2010,"CRB","AM"
"old_female",18740,0.0425396681270288,"complex","un",214,"DominicanRepublic",2010,"CRB","AM"
"old_female",248290,0.563616552788686,"extended","un",214,"DominicanRepublic",2010,"CRB","AM"
"old_male",60960,0.147153961280355,"single","un",214,"DominicanRepublic",2010,"CRB","AM"
"old_male",156290,0.377275141215662,"nuclear","un",214,"DominicanRepublic",2010,"CRB","AM"
"old_male",17150,0.0413991213247719,"complex","un",214,"DominicanRepublic",2010,"CRB","AM"
"old_male",179860,0.434171776179211,"extended","un",214,"DominicanRepublic",2010,"CRB","AM"
"young_female",79030,0.0185453743335586,"single","un",214,"DominicanRepublic",2010,"CRB","AM"
"young_female",2393470,0.56165756176316,"nuclear","un",214,"DominicanRepublic",2010,"CRB","AM"
"young_female",174500,0.0409485995344297,"complex","un",214,"DominicanRepublic",2010,"CRB","AM"
"young_female",1614440,0.378848464368852,"extended","un",214,"DominicanRepublic",2010,"CRB","AM"
"young_male",213770,0.0494653612889641,"single","un",214,"DominicanRepublic",2010,"CRB","AM"
"young_male",2341220,0.541747172928608,"nuclear","un",214,"DominicanRepublic",2010,"CRB","AM"
"young_male",207430,0.0479983154426244,"complex","un",214,"DominicanRepublic",2010,"CRB","AM"
"young_male",1559190,0.360789150339804,"extended","un",214,"DominicanRepublic",2010,"CRB","AM"
"total",401990,0.0425934323955481,"single","un",214,"DominicanRepublic",2010,"CRB","AM"
"total",5016250,0.531504030583269,"nuclear","un",214,"DominicanRepublic",2010,"CRB","AM"
"total",417820,0.0442707229620337,"complex","un",214,"DominicanRepublic",2010,"CRB","AM"
"total",3601780,0.381631814059149,"extended","un",214,"DominicanRepublic",2010,"CRB","AM"
"old_female",293200,0.226335860184342,"single","inter",300,"Greece",2001,"SEU","EU"
"old_female",466260,0.359929598122617,"one gen","inter",300,"Greece",2001,"SEU","EU"
"old_female",350850,0.270838801315403,"two gen","inter",300,"Greece",2001,"SEU","EU"
"old_female",170180,0.131370520757747,"three+ gen","inter",300,"Greece",2001,"SEU","EU"
"old_female",14930,0.0115252196198916,"skipped","inter",300,"Greece",2001,"SEU","EU"
